country_ISO3,technology_field,success_within_3_years_proba,success_within_5_years_proba,success_within_10_years_proba,success_within_20_years_proba,number_of_companies
CYP,Other Renewables,0.0,25.0,25.0,25.0,4.0
CYP,Solar,0.0,0.0,0.0,0.0,1.5
CZE,Bioenergy,0.0,0.0,0.0,0.0,1.8333333333333333
CZE,Energy Efficiency,0.0,0.0,0.0,0.0,58.166666666666664
CZE,Fossil Fuels,0.0,0.0,0.0,4.819277108433735,20.75
CZE,Grid,0.0,0.0,0.0,0.0,30.0
CZE,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,3.0
CZE,Nuclear,0.0,0.0,0.0,0.0,1.5
CZE,Other Energy,0.0,0.0,0.0,0.0,88.16666666666667
CZE,Other Renewables,0.0,0.0,0.0,0.0,15.75
CZE,Solar,0.0,0.0,0.0,0.0,42.166666666666664
CZE,Storage (not electromobility),0.0,0.0,0.0,0.0,5.166666666666666
CZE,Wind,0.0,0.0,0.0,0.0,1.5
DEU,Bioenergy,0.0,0.0,25.0,25.0,4.0
DEU,Energy Efficiency,0.3036129946361704,0.7084303208177309,1.1385487298856392,3.3903451067705697,329.3666666666667
DEU,Fossil Fuels,2.0063357972544873,2.639915522703273,8.130939809926081,10.982048574445615,78.91666666666667
DEU,Grid,1.8089725036179454,1.8089725036179454,3.497346840328027,5.668113844669561,138.2
DEU,Hybrid and Electric mobility,1.25,2.5,3.75,6.25,80.0
DEU,Hydrogen and Fuel Cells,0.0,10.256410256410255,20.51282051282051,28.205128205128204,3.25
DEU,Nuclear,0.0,0.0,0.0,0.0,3.0
DEU,Other Energy,0.8426746100180291,1.9401113114368582,3.801834287058086,5.820333934310574,425.23333333333335
DEU,Other Renewables,0.6095273818454614,1.359714928732183,2.9069767441860463,5.157539384846212,177.73333333333332
DEU,Solar,1.4769836711249693,2.133420858291622,5.087388200541561,7.05669976204152,203.11666666666667
DEU,Storage (not electromobility),0.639386189258312,0.639386189258312,4.6888320545609545,4.6888320545609545,39.1
DEU,Wind,0.0,1.5584415584415583,8.831168831168831,16.623376623376622,32.083333333333336
DNK,Bioenergy,0.0,0.0,0.0,20.0,1.6666666666666665
DNK,Energy Efficiency,0.0,3.858520900321543,3.858520900321543,4.823151125401929,51.833333333333336
DNK,Fossil Fuels,0.0,0.0,0.0,10.95890410958904,18.25
DNK,Grid,0.0,3.7037037037037033,7.4074074074074066,7.4074074074074066,27.0
DNK,Hybrid and Electric mobility,7.6923076923076925,7.6923076923076925,7.6923076923076925,7.6923076923076925,13.0
DNK,Hydrogen and Fuel Cells,0.0,0.0,0.0,0.0,0.75
DNK,Nuclear,0.0,0.0,0.0,0.0,1.5
DNK,Other Energy,0.0,1.2195121951219512,2.4390243902439024,6.707317073170732,82.0
DNK,Other Renewables,0.0,1.5873015873015872,1.5873015873015872,5.82010582010582,31.5
DNK,Solar,0.0,4.0,4.0,6.666666666666667,12.5
DNK,Storage (not electromobility),0.0,0.0,0.0,0.0,6.666666666666666
DNK,Wind,3.79746835443038,3.79746835443038,15.18987341772152,18.9873417721519,26.333333333333332
DOM,Energy Efficiency,0.0,0.0,0.0,0.0,0.6666666666666666
DOM,Fossil Fuels,60.00000000000001,60.00000000000001,60.00000000000001,60.00000000000001,1.6666666666666665
DOM,Grid,0.0,0.0,0.0,0.0,1.6666666666666665
DOM,Hybrid and Electric mobility,0.0,0.0,0.0,0.0,1.0
DOM,Other Energy,0.0,0.0,0.0,0.0,0.6666666666666666
DOM,Other Renewables,0.0,0.0,0.0,0.0,0.3333333333333333
DZA,Energy Efficiency,0.0,0.0,0.0,0.0,0.3333333333333333
DZA,Grid,0.0,0.0,0.0,0.0,0.3333333333333333
DZA,Other Energy,0.0,0.0,0.0,0.0,0.3333333333333333
ECU,Energy Efficiency,0.0,0.0,0.0,0.0,1.0
