ISO3,event date,Renewable_gen_GW,Demand_GW,share of res in demand
AUS,19-11-2015,3.011000738,24.20750104,0.124382964
ARG,28-07-2021,6.594682576,20.3714375,0.323722004
AUS,26-10-2020,5.196557636,23.83552688,0.218017318
AUS,01-02-2022,6.511514582,28.08376331,0.231860471
ARG,19-11-2020,5.444,15.15066667,0.359324122
AUS,13-02-2020,4.550556111,28.81111458,0.157944466
AUT,26-10-2019,2.525677083,5.769395833,0.437771503
AUT,07-09-2016,5.984635417,7.141989583,0.837950734
AUS,26-02-2019,3.398899827,22.34574083,0.152105041
AUS,23-07-2018,6.388217104,23.70512604,0.269486739
AUT,17-07-2019,5.294989583,6.87053125,0.770681246
AUT,25-08-2017,6.3518125,6.9816875,0.90978184
AUT,19-02-2016,5.605729167,8.286229167,0.676511481
AUT,29-03-2017,4.948760417,7.436739583,0.665447588
AUT,09-03-2019,5.620552083,6.970125,0.806377516
AUT,13-05-2020,7.2809375,6.677104167,1.090433415
AUT,25-06-2021,7.709583333,7.158614583,1.076965835
AUT,10-10-2020,4.924927083,6.255604167,0.787282403
AUS,17-10-2019,4.423264432,20.46291313,0.216160055
AUS,04-04-2020,5.390927677,22.55361917,0.239027166
AUS,04-05-2019,2.987261921,19.816455,0.150746535
AUT,09-11-2018,5.100395833,7.6705625,0.664931136
AUT,17-09-2019,4.341875,7.075614583,0.613639275
AUT,03-06-2018,4.9393125,5.400447917,0.914611635
AUT,26-12-2019,5.123333333,6.324583333,0.810066539
AUS,29-07-2018,5.23637898,20.11977417,0.260260326
AUT,09-09-2020,6.71478125,7.036927083,0.954220666
AUT,10-10-2017,5.910229167,7.41453125,0.797114338
AUT,21-08-2020,6.075833333,6.8315625,0.88937682
AUT,14-11-2019,4.704489583,8.38534375,0.561037177
AUT,24-02-2020,5.901385417,8.0073125,0.736999513
AUT,08-05-2018,6.014114583,6.979947917,0.86162743
ARG,05-04-2020,5.385,11.363,0.473906539
AUT,25-04-2021,3.3493125,5.562302083,0.60214502
AUT,17-05-2021,8.144229167,7.219427083,1.128099096
AUS,14-04-2021,5.554799001,23.31725129,0.238227008
AUS,22-06-2020,6.137327818,27.52951396,0.222936294
ARG,24-12-2020,7.06,18.12320833,0.389555749
AUS,03-10-2018,3.590430539,20.58530688,0.174417149
AUS,26-11-2015,3.084785996,22.90896375,0.134654104
AUS,28-02-2018,3.392164079,22.16498521,0.153041567
AUT,30-07-2020,6.059072917,6.647010417,0.911548582
AUS,25-03-2019,4.080439171,21.81119667,0.187080023
AUT,12-06-2021,6.468510417,5.982020833,1.081325291
AUS,16-09-2021,5.703744015,24.47393979,0.233053773
AUS,30-04-2019,4.395173495,20.83778646,0.210923243
ARG,18-12-2021,4.980055556,17.4124375,0.286005653
AUT,20-11-2020,6.276385417,8.1049375,0.774390354
ARG,09-04-2021,4.327,15.88514503,0.272392854
ARG,19-06-2020,7.594,15.7618125,0.481797382
AUT,01-08-2018,3.850239583,7.118989583,0.540840738
AUT,26-05-2016,6.285822917,5.4145625,1.160910584
AUS,01-01-2015,2.469493411,20.25218625,0.121937127
AUS,25-10-2021,5.107572045,23.73118699,0.215226151
ARG,17-02-2020,8.421,18.86570833,0.446365429
AUT,05-12-2015,2.245489583,7.008458333,0.32039708
ARG,10-03-2021,7.282,17.79248264,0.40927397
AUT,20-06-2016,7.04353125,7.057197917,0.998063443
AUT,18-10-2015,2.83015625,5.683104167,0.497994787
AUS,20-02-2017,2.264871908,21.36567438,0.106005168
AUS,19-01-2018,3.70107934,25.28645083,0.146366106
AUS,14-07-2018,4.377135665,22.44853438,0.194985365
AUT,24-06-2021,7.241583333,7.512104167,0.963988674
AUS,06-06-2018,4.789401739,23.22795375,0.20619129
ARG,07-05-2020,6.805,14.55710417,0.467469348
AUT,23-11-2018,5.002541667,8.413197917,0.594606441
AUT,24-11-2019,5.043572917,6.38178125,0.790308022
AUT,20-05-2018,4.38965625,5.34165625,0.821778124
ARG,25-03-2020,4.512,14.40972917,0.313121777
AUS,25-07-2017,4.560372244,22.90024417,0.199140769
AUS,11-11-2016,4.14667947,21.79866417,0.190226311
AUS,19-08-2021,5.797226863,25.52984265,0.227076482
AUS,29-01-2019,3.931414034,25.52999542,0.15399196
ARG,29-09-2021,7.7376475,15.68533333,0.493304626
AUT,06-07-2021,6.135052083,7.350145833,0.834684403
AUT,27-07-2018,3.681364583,6.6815625,0.550973606
AUT,02-03-2018,4.648666667,9.280614583,0.500900735
AUS,17-12-2018,3.86075899,22.31714417,0.172995208
AUS,09-02-2017,3.813601395,26.80473667,0.142273414
AUS,29-04-2020,4.596483958,24.47279854,0.18782012
AUS,13-10-2019,3.173738986,18.10546458,0.175291773
AUS,21-11-2019,4.860415776,22.77431854,0.213416519
ARG,03-10-2021,6.117815152,13.47027083,0.454171652
AUS,09-02-2015,2.032833074,22.52980854,0.0902286
ARG,12-11-2021,6.214021667,15.9791875,0.388882205
AUT,19-09-2016,6.414395833,7.209833333,0.889673247
AUT,01-09-2020,9.505729167,7.16596875,1.326509994
AUT,20-04-2017,6.673104167,7.850447917,0.850028462
AUS,20-08-2019,6.41244714,22.28212313,0.287784387
AUS,12-11-2019,6.017582676,20.52820146,0.293137355
AUT,18-12-2018,3.555166667,8.967114583,0.396467184
AUS,05-06-2015,2.609517323,23.98539146,0.108796111
AUS,28-09-2018,3.868092632,20.30010354,0.190545463
AUS,19-07-2016,2.908742865,22.80108417,0.127570375
AUS,12-03-2021,4.698228696,25.74024975,0.182524596
AUS,29-12-2021,4.796068755,23.67325435,0.2025944
AUT,12-11-2020,4.740395833,7.978333333,0.594158659
AUT,04-11-2021,4.77303125,7.764229167,0.614746313
AUT,06-08-2016,7.023354167,5.659375,1.241012332
AUT,23-06-2016,7.04675,7.159197917,0.984293224
AUT,23-05-2017,5.565885417,6.961708333,0.799499943
ARG,23-01-2021,7.879,19.4725,0.404621903
AUT,14-07-2021,7.166114583,7.382770833,0.970653803
ARG,11-09-2020,6.161,14.57979167,0.422571196
AUT,10-07-2015,4.007052083,6.751145833,0.593536591
AUT,26-04-2019,8.44803125,6.980395833,1.21025103
AUT,10-09-2015,3.487541667,6.5565625,0.531916178
AUT,12-05-2021,8.05390625,7.174166667,1.122626031
AUT,18-10-2017,5.25528125,7.436114583,0.706724082
AUT,11-05-2016,6.037385417,7.124604167,0.847399417
AUS,28-05-2018,4.807196117,21.91423521,0.219364083
ARG,05-10-2020,7.363,14.84402083,0.496024634
ARG,16-09-2020,6.993,15.04370833,0.464845492
AUT,20-02-2018,4.972416667,8.750635417,0.568234926
AUS,16-06-2018,5.497330503,21.79144229,0.252270154
AUT,10-01-2021,2.431927083,7.028875,0.345990942
AUT,10-07-2020,6.617635417,6.7325625,0.982929667
AUT,04-03-2017,5.551677083,6.70853125,0.827554777
AUT,03-06-2021,6.296677083,5.70890625,1.10295682
ARG,25-08-2021,6.420843333,17.36920833,0.369668163
AUS,03-11-2020,4.579275897,22.36423333,0.204758904
AUS,19-03-2020,5.113609718,25.15753708,0.203263527
AUT,22-10-2018,3.277083333,7.632083333,0.429382541
AUS,18-09-2015,2.524224909,21.73018313,0.116162155
AUS,25-06-2017,2.838450018,21.23342292,0.133678401
AUT,22-12-2021,3.23815625,8.599083333,0.376569935
AUT,09-05-2018,7.0475625,6.977302083,1.010069854
AUS,02-05-2015,2.099853454,19.73150104,0.106421374
AUS,30-03-2016,1.847795681,21.98559313,0.084045751
AUT,21-04-2020,4.608166667,6.430958333,0.71655987
AUS,14-02-2016,2.401276899,20.85706896,0.115130122
AUT,13-11-2019,5.57153125,8.640177083,0.644839937
AUS,05-07-2017,3.582401739,23.09168125,0.155138195
ARG,13-02-2022,4.183866667,13.13627083,0.31849729
AUT,16-01-2015,4.6263125,7.976760417,0.579973856
AUS,31-12-2020,4.772853883,23.62488269,0.202026564
AUS,01-11-2021,4.983481343,22.41888896,0.222289399
AUS,14-03-2018,2.758682782,21.62041313,0.12759621
AUS,25-07-2015,4.076767151,20.58083292,0.198085625
AUT,31-05-2019,7.041677083,6.413895833,1.097878305
ARG,26-06-2020,6.632,17.9605,0.369254753
ARG,26-05-2021,6.914,16.46377962,0.419952171
AUT,01-12-2018,2.6205625,7.651354167,0.342496562
