year,country_ISO3,number_of_deals,raised_amount_usd,sector
2014,TAN,1,20005.524861878454,energy_and_non_green
2014,TUR,1,532131.6629834254,energy_and_non_green
2014,TWN,2,117914917.12707181,energy_and_green
2014,USA,257,1516451207.6022098,energy_and_non_green
2014,USA,209,5310872623.19337,energy_and_green
2014,ZAF,1,37069060.77348066,energy_and_non_green
2015,ALB,1,2353591.160220994,energy_and_non_green
2015,AUS,9,15964215.845303865,energy_and_non_green
2015,AUS,1,539672.5690607735,energy_and_green
2015,AUT,1,1176795.580110497,energy_and_non_green
2015,AUT,1,1756962.8618784528,energy_and_green
2015,BEL,5,8513087.50276243,energy_and_non_green
2015,BEL,2,2628947.2044198895,energy_and_green
2015,BGR,2,735902.0552486187,energy_and_non_green
2015,BRA,1,823756.906077348,energy_and_non_green
2015,CAN,20,24691402.47513812,energy_and_non_green
2015,CAN,7,33466665.911602207,energy_and_green
2015,CHE,6,3581913.91160221,energy_and_non_green
2015,CHE,8,4988095.193370165,energy_and_green
2015,CHL,1,764917.1270718231,energy_and_green
2015,CHN,45,134143580.12154695,energy_and_non_green
2015,CHN,32,923690587.9723756,energy_and_green
2015,DEU,2,5374710.198895028,energy_and_non_green
2015,DEU,11,65813436.66298342,energy_and_green
2015,DNK,2,4118784.53038674,energy_and_non_green
2015,DNK,5,1587204.2154696132,energy_and_green
2015,ESP,4,308560.5082872928,energy_and_non_green
2015,ESP,11,2605006.4751381213,energy_and_green
2015,EST,2,13102193.685082871,energy_and_green
2015,FIN,1,8237569.06077348,energy_and_non_green
2015,FIN,4,1962086.5690607734,energy_and_green
2015,FRA,9,77557474.09392264,energy_and_non_green
2015,FRA,13,28508497.806629833,energy_and_green
2015,GBR,39,73062813.99447513,energy_and_non_green
2015,GBR,28,92134273.839779,energy_and_green
2015,GHA,1,3765745.8563535907,energy_and_non_green
2015,GTM,1,3530386.7403314915,energy_and_green
2015,HKG,1,422111.8674033149,energy_and_green
2015,HUN,4,1767612.8618784528,energy_and_non_green
2015,IND,8,6182334.41436464,energy_and_non_green
2015,IND,10,29639421.895027623,energy_and_green
2015,IRL,2,58334833.67403314,energy_and_green
2015,ISL,4,836149.7403314917,energy_and_green
2015,ISR,9,46844270.95027624,energy_and_non_green
2015,ISR,10,20265334.259668507,energy_and_green
2015,ITA,7,3187719.165745856,energy_and_non_green
2015,ITA,2,879087.4806629834,energy_and_green
2015,JPN,1,1982674.6077348066,energy_and_non_green
2015,JPN,2,2206789.44198895,energy_and_green
2015,KEN,3,41482044.19889502,energy_and_non_green
2015,KEN,1,164751.3812154696,energy_and_green
2015,KOR,2,1732950.3480662983,energy_and_non_green
2015,LTU,1,128587.27624309392,energy_and_non_green
2015,LTU,1,66501.89502762431,energy_and_green
2015,LVA,2,4793785.060773481,energy_and_non_green
2015,MEX,7,2453618.7845303863,energy_and_non_green
2015,NGA,1,23535.911602209944,energy_and_green
2015,NLD,4,4877785.906077348,energy_and_non_green
2015,NLD,8,98919900.74585634,energy_and_green
2015,NOR,1,1470994.4751381215,energy_and_non_green
2015,NOR,2,46406933.70165746,energy_and_green
2015,POL,1,294198.89502762427,energy_and_non_green
2015,POL,1,706077.3480662983,energy_and_green
2015,PRT,1,69622.75690607734,energy_and_non_green
2015,PRT,2,725014.3425414364,energy_and_green
2015,RUS,3,759420.314917127,energy_and_non_green
2015,RUS,1,258895.02762430938,energy_and_green
2015,SAU,1,128666.12154696132,energy_and_non_green
2015,SGP,5,22397486.61878453,energy_and_non_green
2015,SGP,3,95455773.48066297,energy_and_green
2015,SRB,1,137583.87845303866,energy_and_green
2015,SVK,2,4548157.226519337,energy_and_green
2015,SWE,4,7050104.651933701,energy_and_non_green
2015,SWE,3,9222839.983425414,energy_and_green
2015,TAN,1,9073093.922651934,energy_and_green
2015,TUR,1,1000276.2430939226,energy_and_non_green
2015,TUR,1,402599.41988950275,energy_and_green
2015,TWN,1,336563.5359116022,energy_and_non_green
2015,TWN,1,35303867.40331492,energy_and_green
2015,UGA,1,23535.911602209944,energy_and_non_green
2015,UKR,1,294198.89502762427,energy_and_non_green
2015,UKR,1,294198.89502762427,energy_and_green
2015,USA,254,1686164369.6850827,energy_and_non_green
2015,USA,200,3497472297.513812,energy_and_green
2015,ZAF,1,353038.67403314915,energy_and_non_green
2015,ZAF,1,941436.4640883977,energy_and_green
2016,ARE,1,2315217.3913043477,energy_and_non_green
2016,ARE,1,5788043.478260869,energy_and_green
2016,AUS,4,13895355.97826087,energy_and_non_green
2016,AUS,8,16697774.98369565,energy_and_green
2016,AUT,7,7001986.043478261,energy_and_non_green
2016,AUT,1,694316.3315217391,energy_and_green
2016,BAH,1,32829782.608695652,energy_and_green
2016,BEL,6,12955771.304347824,energy_and_non_green
2016,BEL,2,391173.3423913043,energy_and_green
2016,BGR,1,754254.9945652174,energy_and_non_green
2016,BLR,1,11576086.956521738,energy_and_non_green
2016,BMU,1,380353.17391304346,energy_and_green
2016,BRA,2,1106103.2119565217,energy_and_non_green
2016,BRA,2,2550277.940217391,energy_and_green
2016,CAN,16,63202852.157608695,energy_and_non_green
2016,CAN,23,121011112.35326086,energy_and_green
2016,CHE,9,25090400.983695652,energy_and_non_green
2016,CHE,7,9766220.168478262,energy_and_green
2016,CHN,51,349268447.0543478,energy_and_non_green
2016,CHN,41,2915881308.6521735,energy_and_green
2016,COL,1,463043.47826086957,energy_and_green
2016,DEU,2,8297710.190217391,energy_and_non_green
2016,DEU,16,302731801.8913044,energy_and_green
2016,DNK,2,3009162.1304347822,energy_and_non_green
2016,DNK,1,174798.91304347824,energy_and_green
2016,EGY,1,11576.086956521738,energy_and_non_green
2016,ESP,6,8594847.505434781,energy_and_non_green
2016,ESP,7,6976303.3369565215,energy_and_green
2016,EST,1,5810.038043478261,energy_and_non_green
2016,EST,3,20246028.538043477,energy_and_green
2016,FIN,1,2076545.1032608694,energy_and_non_green
2016,FIN,10,19878693.83152174,energy_and_green
2016,FRA,13,22168669.56521739,energy_and_non_green
2016,FRA,7,50360097.03260869,energy_and_green
2016,GBR,46,104990610.22826086,energy_and_non_green
2016,GBR,26,78081685.85869566,energy_and_green
2016,GHA,2,6714130.434782608,energy_and_non_green
2016,GTM,3,7524456.52173913,energy_and_green
2016,HKG,1,115760.86956521739,energy_and_green
2016,IND,5,2432963.5597826084,energy_and_non_green
2016,IND,10,59087336.77173913,energy_and_green
2016,IRL,1,4348399.630434782,energy_and_non_green
2016,ISL,3,764755.6630434783,energy_and_green
2016,ISR,10,75285081.52173913,energy_and_non_green
2016,ISR,3,9897554.347826086,energy_and_green
2016,ITA,4,976466.0869565217,energy_and_non_green
2016,ITA,3,1147374.277173913,energy_and_green
2016,JPN,1,2126181.0489130435,energy_and_non_green
2016,JPN,5,12161710.777173912,energy_and_green
2016,KEN,3,25409395.108695652,energy_and_non_green
2016,KEN,3,8450543.47826087,energy_and_green
2016,KOR,2,6397167.913043478,energy_and_non_green
2016,KOR,1,507103.2228260869,energy_and_green
2016,LCA,3,20957.347826086956,energy_and_green
2016,LUX,1,650835.3913043478,energy_and_non_green
2016,MAR,1,219945.65217391303,energy_and_non_green
2016,MEX,2,503559.7826086956,energy_and_non_green
2016,MEX,1,1041847.8260869564,energy_and_green
2016,MYS,1,578804.3478260869,energy_and_non_green
2016,NGA,2,2199456.5217391304,energy_and_green
2016,NIC,1,150489.1304347826,energy_and_non_green
2016,NLD,7,4252407.244565217,energy_and_non_green
2016,NLD,9,25655163.538043477,energy_and_green
2016,NOR,2,1276292.527173913,energy_and_non_green
2016,NOR,4,23866111.71195652,energy_and_green
2016,POL,1,405163.04347826086,energy_and_non_green
2016,POL,3,1129607.2989130435,energy_and_green
2016,PRT,1,62815.32065217391,energy_and_non_green
2016,PRT,3,2540607.277173913,energy_and_green
2016,RUS,1,1041847.8260869564,energy_and_non_green
2016,RUS,2,2546739.1304347822,energy_and_green
2016,RWA,3,122624.33152173914,energy_and_green
2016,SAU,3,3185739.1304347827,energy_and_non_green
2016,SGP,3,1864354.2717391304,energy_and_non_green
2016,SGP,1,1508349.081521739,energy_and_green
2016,SVN,3,15839362.989130434,energy_and_green
2016,SWE,6,7476443.543478261,energy_and_non_green
2016,SWE,9,60711143.42934783,energy_and_green
2016,TAN,1,3305661.6032608696,energy_and_green
2016,TUR,2,7199544.701086956,energy_and_non_green
2016,TUR,1,2894021.7391304346,energy_and_green
2016,UKR,1,115760.86956521739,energy_and_green
2016,USA,204,1190085261.75,energy_and_non_green
2016,USA,181,6370106214.423913,energy_and_green
2016,ZAF,2,300978.2608695652,energy_and_non_green
2017,AUS,6,37922743.19680851,energy_and_non_green
2017,AUS,10,32343119.824468087,energy_and_green
2017,AUT,2,8315322.861702128,energy_and_non_green
2017,BEL,3,315728.31382978725,energy_and_non_green
2017,BEL,3,7108915.787234043,energy_and_green
2017,BRA,5,12565549.787234042,energy_and_non_green
2017,BRA,2,396542.5531914894,energy_and_green
2017,CAN,23,277420012.30851066,energy_and_non_green
2017,CAN,27,81200623.62765957,energy_and_green
2017,CHE,5,56849700.0,energy_and_non_green
2017,CHE,7,4303669.531914894,energy_and_green
