country_ISO3,sector,number_of_companies,success_within_3_years_proba,success_within_5_years_proba,success_within_10_years_proba,success_within_20_years_proba,time_to_expansion_stage,time_to_bridge_stage,time_to_ipo,time_to_acquired,time_to_success,time_to_early_stage
ITA,energy_and_non_digital,368,1.9021739130434785,2.1739130434782608,4.076086956521739,6.25,2.745205479452055,9.789197651663406,5.514285714285714,15.270041691483026,12.993698630136986,2.611141552511415
ITA,energy_and_digital,156,0.0,0.641025641025641,1.9230769230769231,2.564102564102564,4.481735159817352,5.5820939334637965,7.5817351598173515,15.441095890410958,10.725479452054795,1.5842992623814542
JAM,energy_and_non_digital,3,0.0,0.0,0.0,0.0,,,,,,
JAM,energy_and_digital,1,0.0,0.0,0.0,0.0,,,,,,
JEY,energy_and_non_digital,8,0.0,37.5,50.0,50.0,2.956164383561644,9.538356164383561,11.99269406392694,,11.99269406392694,
JOR,energy_and_non_digital,5,0.0,0.0,0.0,0.0,,,,,,
JOR,energy_and_digital,2,0.0,0.0,0.0,0.0,,,,,,0.16164383561643836
JPN,energy_and_non_digital,432,1.6203703703703702,1.6203703703703702,3.009259259259259,5.092592592592593,7.663455589924878,6.130209084354722,10.431811263318114,13.516438356164382,10.74027397260274,2.055890410958904
JPN,energy_and_digital,136,2.2058823529411766,2.941176470588235,3.6764705882352944,5.88235294117647,4.832129514321295,7.401826484018265,7.48054794520548,10.941095890410958,8.469275929549902,1.8438356164383563
KAZ,energy_and_non_digital,8,12.5,12.5,12.5,12.5,,,,2.3698630136986303,2.3698630136986303,
KAZ,energy_and_digital,2,0.0,0.0,0.0,0.0,,,,,,
KEN,energy_and_non_digital,51,1.9607843137254901,3.9215686274509802,3.9215686274509802,3.9215686274509802,5.605479452054794,3.5762557077625576,,13.097260273972603,13.097260273972603,4.435159817351598
KEN,energy_and_digital,9,0.0,0.0,0.0,0.0,4.090410958904109,2.6703196347031963,,,,2.807305936073059
KHM,energy_and_non_digital,4,0.0,0.0,0.0,0.0,,,,,,2.180821917808219
